,Country,HS4,Trade Value Relatedness
199,Kenya,Non-fillet Frozen Fish,0.2699229423
200,Ghana,Petroleum Gas,0.0867503707
201,Ghana,Raw Cotton,0.0848884374
202,Ghana,Raw Sugar,0.0835216444
203,Ghana,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.082579101
204,Ghana,Crustaceans,0.0822997988
205,Ghana,Fish Fillets,0.0784846399
206,Ghana,Copper Ore,0.078414451
207,Ghana,Soap,0.0781144241
208,Ghana,Tin Ores,0.0780141038
209,Ghana,Insect Resins,0.0779135672
210,Mali,Cocoa Beans,0.0415663684
211,Mali,Palm Oil,0.0361238322
212,Mali,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0346032455
213,Mali,Ground Nuts,0.0316174323
214,Mali,Raw Sugar,0.0310136874
215,Mali,Bananas,0.030979468
216,Mali,Crude Petroleum,0.0303496449
217,Mali,Crustaceans,0.0300367896
218,Mali,Legume Flours,0.02943877
219,Mali,Soap,0.029330708
220,Madagascar,Tea,0.1963369893
221,Madagascar,Jute Woven Fabric,0.1909362662
222,Madagascar,"Nutmeg, mace and cardamons",0.1891396359
223,Madagascar,Other Cloth Articles,0.1889208315
224,Madagascar,Fake Hair,0.1889067643
225,Madagascar,Bananas,0.1888180658
226,Madagascar,"Coconuts, Brazil Nuts, and Cashews",0.1849226635
227,Madagascar,Molasses,0.1842305779
228,Madagascar,Other Oily Seeds,0.1796403251
229,Madagascar,Tropical Fruits,0.1791329457
230,Libya,Ammonia,0.025661095
231,Libya,Non-fillet Frozen Fish,0.0231590181
232,Libya,Raw Aluminium,0.0231023868
233,Libya,Refined Petroleum,0.0221150164
234,Libya,Cocoa Beans,0.0219352602
235,Libya,Coal Briquettes,0.0216631663
236,Libya,Chromium Ore,0.0210151082
237,Libya,Crustaceans,0.020266122
238,Libya,Collector's Items,0.0202575914
239,Libya,Acyclic Alcohols,0.0198972153
240,Liberia,Aluminium Ore,0.0323752689
241,Liberia,Manganese Ore,0.0318827681
242,Liberia,Crude Petroleum,0.0316788283
243,Liberia,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0314377499
244,Liberia,Crustaceans,0.0281803291
245,Liberia,"Coconuts, Brazil Nuts, and Cashews",0.0281533722
246,Liberia,Fish Fillets,0.0281197011
247,Liberia,Bananas,0.0277235947
248,Liberia,Tin Ores,0.0275135979
249,Liberia,Petroleum Gas,0.0270617685
250,Morocco,Knit Men's Undergarments,0.2596301955
251,Morocco,Other Knit Clothing Accessories,0.2375394193
252,Morocco,Pepper,0.2369136206
253,Morocco,Raw Tobacco,0.2364452131
254,Morocco,Insect Resins,0.2347238739
255,Morocco,Bananas,0.2335023544
256,Morocco,Gold,0.2301800158
257,Morocco,Non-Retail Pure Cotton Yarn,0.2292958858
258,Morocco,House Linens,0.229074625
259,Morocco,Cassava,0.2273367132
260,Mauritania,Manganese Ore,0.0497805866
261,Mauritania,Cocoa Beans,0.0488646235
